"Date","Price","Open","High","Low","Change %"
"Nov 02, 2017","5,640.50","5,646.50","5,652.24","5,604.67","-0.14%"
"Nov 01, 2017","5,648.20","5,635.28","5,648.78","5,633.46","0.24%"
"Oct 31, 2017","5,634.50","5,644.50","5,650.37","5,632.74","-0.19%"
"Oct 30, 2017","5,645.50","5,655.30","5,656.37","5,643.38","0.04%"
"Oct 27, 2017","5,643.50","5,653.83","5,655.59","5,623.71","-0.04%"
"Oct 26, 2017","5,646.00","5,647.28","5,657.00","5,642.00","0.05%"
"Oct 25, 2017","5,643.12","5,631.15","5,643.93","5,631.15","0.06%"
"Oct 24, 2017","5,640.00","5,641.00","5,652.84","5,582.06","0.17%"
"Oct 23, 2017","5,630.50","5,621.50","5,645.57","5,616.91","-0.08%"
"Oct 20, 2017","5,635.00","5,655.00","5,660.19","5,583.00","-0.27%"
"Oct 19, 2017","5,649.98","5,631.78","5,650.31","5,610.82","0.18%"
"Oct 18, 2017","5,640.00","5,638.21","5,646.30","5,635.00","0.07%"
"Oct 17, 2017","5,636.00","5,644.09","5,644.09","5,631.97","-0.02%"
"Oct 16, 2017","5,637.00","5,629.00","5,645.94","5,629.00","0.07%"
"Oct 13, 2017","5,633.00","5,634.00","5,645.52","5,627.51","-0.17%"
"Oct 12, 2017","5,642.50","5,647.68","5,648.02","5,614.94","0.05%"
"Oct 11, 2017","5,639.50","5,639.50","5,644.68","5,612.25","-0.02%"
"Oct 10, 2017","5,640.50","5,647.16","5,647.16","5,616.33","0.03%"
